Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cliente,Chrome 77.0.3865.120,,,2019-10-31 15:32:08,2019-10-31 15:34:34,"2m - 26,722s",INCOMPLETE
,,,,,,,
Test Cases/Clientes/ConsultaCliente,Chrome 77.0.3865.120,,,2019-10-31 15:32:08,2019-10-31 15:32:27,"18,908s",PASSED
"runFeatureFile(""Include/features/Clientes/ConsultarCliente.feature"")",Chrome 77.0.3865.120,,,2019-10-31 15:32:08,2019-10-31 15:32:27,"18,606s",PASSED
,,,,,,,
Test Cases/Clientes/CrearCliente,Chrome 77.0.3865.120,,,2019-10-31 15:32:27,2019-10-31 15:34:28,"2m - 1,265s",PASSED
"runFeatureFile(""Include/features/Clientes/CrearCliente.feature"")",Chrome 77.0.3865.120,,,2019-10-31 15:32:27,2019-10-31 15:34:28,"2m - 1,064s",PASSED
,,,,,,,
Test Cases/Clientes/ModificarCLiente,Chrome 77.0.3865.120,,,2019-10-31 15:34:28,2019-10-31 15:34:34,"6,239s",FAILED
"runFeatureFile(""Include/features/Clientes/ModificarCliente.feature"")",Chrome 77.0.3865.120,,,2019-10-31 15:34:28,2019-10-31 15:34:34,"6,030s",FAILED
