Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cliente,Chrome 77.0.3865.120,,,2019-10-31 15:05:28,2019-10-31 15:08:21,"2m - 53,223s",INCOMPLETE
,,,,,,,
Test Cases/Clientes/ConsultaCliente,Chrome 77.0.3865.120,,,2019-10-31 15:05:28,2019-10-31 15:05:43,"14,403s",PASSED
"runFeatureFile(""Include/features/Clientes/ConsultarCliente.feature"")",Chrome 77.0.3865.120,,,2019-10-31 15:05:29,2019-10-31 15:05:43,"14,087s",PASSED
,,,,,,,
Test Cases/Clientes/CrearCliente,Chrome 77.0.3865.120,,,2019-10-31 15:05:43,2019-10-31 15:07:43,"2m - 0,293s",PASSED
"runFeatureFile(""Include/features/Clientes/CrearCliente.feature"")",Chrome 77.0.3865.120,,,2019-10-31 15:05:43,2019-10-31 15:07:43,"2m - 0,102s",PASSED
,,,,,,,
Test Cases/Clientes/ModificarCLiente,Chrome 77.0.3865.120,,,2019-10-31 15:07:43,2019-10-31 15:08:21,"38,191s",FAILED
"runFeatureFile(""Include/features/Clientes/ModificarCliente.feature"")",Chrome 77.0.3865.120,,,2019-10-31 15:07:43,2019-10-31 15:08:21,"37,978s",FAILED
